,Error,Cost,Q_pos_x_0,Q_pos_x_1,Q_pos_y_0,Q_pos_y_1,Q_pos_z_0,Q_pos_z_1,Q_att_x_0,Q_att_x_1,Q_att_y_0,Q_att_y_1,Q_att_z_0,Q_att_z_1,Q_vel_0,Q_vel_1,Q_omega_0,Q_omega_1,Q_horizon_0,Q_horizon_1
0,27013.2798382097,729717287.617425,1039.607,1016.027,1045.663,1081.176,1467.719,1483.627,62.851,88.265,186.326,110.334,455.842,451.971,24.125,115.513,158.857,83.556,6.2,1.99
0,29970.6093959458,898237427.564356,1025.679,1021.985,1056.53,1084.78,1470.052,1483.77,60.808,91.572,186.786,107.407,461.407,454.918,24.945,121.962,154.986,82.875,5.794,2.672
0,33504.8901580989,1122577664.50627,1023.825,1020.482,1062.216,1082.768,1462.182,1486.772,54.499,91.007,187.769,109.644,452.87,455.967,28.057,118.209,156.036,80.64,6.157,3.661
0,32537.3757462069,1058680820.44985,1016.504,1022.539,1062.628,1077.99,1461.06,1497.228,50.817,88.633,190.161,103.586,445.702,454.331,29.974,117.404,146.757,82.303,5.587,3.825
0,31729.937498789,1006788933.67706,1013.346,1032.011,1062.456,1078.358,1459.54,1494.64,49.401,83.667,189.79,113.283,440.946,445.255,23.625,119.831,144.118,81.332,5.282,2.896
0,24303.7677989244,590673129.224034,1012.794,1037.038,1058.233,1076.441,1459.145,1498.843,52.915,83.356,182.193,109.823,436.699,446.449,16.377,118.902,141.328,89.487,5.87,2.563
0,29111.3495227707,847470671.036921,1008.902,1042.052,1042.2,1068.307,1456.456,1495.811,57.351,79.756,184.37,103.799,439.098,445.412,17.152,112.119,136.407,81.488,4.941,2.489
0,28076.8631922299,788310246.715194,1003.275,1045.271,1042.812,1066.27,1462.901,1499.518,63.019,82.324,185.762,98.836,435.212,449.565,12.171,107.844,139.722,82.019,5.223,2.55
0,25537.6283236844,652170460.398647,998.08,1044.716,1046.253,1071.05,1465.035,1498.039,62.689,76.312,188.399,102.662,425.125,446.311,13.566,110.383,135.935,75.425,5.349,2.685
0,31081.0586752023,966032208.371368,992.57,1043.559,1044.891,1071.143,1464.654,1497.341,64.35,68.442,188.731,105.891,426.14,445.765,18.187,106.61,138.19,71.25,5.28,2.776
0,30686.8027264235,941679861.570433,992.295,1045.389,1049.599,1077.772,1468.317,1493.719,62.775,67.768,182.859,105.76,419.025,441.032,18.984,112.38,141.67,65.44,5.504,3.019
0,26267.2197878885,689966835.385243,997.466,1043.133,1044.955,1069.797,1466.686,1485.633,70.559,72.12,179.063,103.147,424.153,434.448,15.722,107.199,143.347,60.626,6.203,2.792
